"","t","x","Y"
"1171",0.916666666666667,7.1,0.0439563059827789
"1172",0.916666666666667,7.2,0.0440883438595421
"1173",0.916666666666667,7.3,0.0442167831067835
"1174",0.916666666666667,7.4,0.0443417671920311
"1175",0.916666666666667,7.5,0.0444634322401648
"1176",0.916666666666667,7.6,0.044581907477477
"1177",0.916666666666667,7.7,0.0446973156459956
"1178",0.916666666666667,7.8,0.0448097733901414
"1179",0.916666666666667,7.9,0.044919391617654
"1180",0.916666666666667,8,0.0450262758365875
"1181",0.916666666666667,8.1,0.0451305264700562
"1182",0.916666666666667,8.2,0.0452322391502916
"1183",0.916666666666667,8.3,0.0453315049934659
"1184",0.916666666666667,8.4,0.0454284108566295
"1185",0.916666666666667,8.5,0.0455230395780193
"1186",0.916666666666667,8.6,0.0456154702019017
"1187",0.916666666666667,8.7,0.0457057781890299
"1188",0.916666666666667,8.8,0.0457940356137214
"1189",0.916666666666667,8.9,0.0458803113484816
"1190",0.916666666666667,9,0.0459646712370414
"1191",0.916666666666667,9.1,0.0460471782566047
"1192",0.916666666666667,9.2,0.0461278926700504
"1193",0.916666666666667,9.3,0.0462068721687756
"1194",0.916666666666667,9.4,0.0462841720068197
"1195",0.916666666666667,9.5,0.046359845126859
"1196",0.916666666666667,9.6,0.0464339422786227
"1197",0.916666666666667,9.7,0.0465065121302379
"1198",0.916666666666667,9.8,0.0465776013729778
"1199",0.916666666666667,9.9,0.0466472548198487
"1200",0.916666666666667,10,0.0467155154984262
"1201",1,0.1,0.00125889455272644
"1202",1,0.2,0.00161913697128692
"1203",1,0.3,0.00226197123162106
"1204",1,0.4,0.00312349029584076
"1205",1,0.5,0.00415089734344318
"1206",1,0.6,0.00530073431418522
"1207",1,0.7,0.00653738179193523
"1208",1,0.8,0.00783178957401488
"1209",1,0.9,0.00916040328047478
"1210",1,1,0.0105042574870866
"1211",1,1.1,0.0118482102428199
"1212",1,1.2,0.0131802975668471
"1213",1,1.3,0.0144911897054287
"1214",1,1.4,0.0157737336455009
"1215",1,1.5,0.0170225686979194
"1216",1,1.6,0.0182338039376455
"1217",1,1.7,0.01940474797072
"1218",1,1.8,0.0205336829314074
"1219",1,1.9,0.0216196758339232
"1220",1,2,0.0226624214428952
"1221",1,2.1,0.02366211171178
"1222",1,2.2,0.0246193275916477
"1223",1,2.3,0.0255349496534674
"1224",1,2.4,0.0264100845118882
"1225",1,2.5,0.0272460045016608
"1226",1,2.6,0.0280440984513919
"1227",1,2.7,0.0288058317335608
"1228",1,2.8,0.0295327140534802
"1229",1,2.9,0.0302262736806393
"1230",1,3,0.0308880370300454
"1231",1,3.1,0.0315195126742266
"1232",1,3.2,0.032122179013143
"1233",1,3.3,0.0326974749533275
"1234",1,3.4,0.0332467930525312
"1235",1,3.5,0.0337714746748613
"1236",1,3.6,0.0342728067763138
"1237",1,3.7,0.0347520200038213
"1238",1,3.8,0.0352102878442193
"1239",1,3.9,0.0356487266044083
"1240",1,4,0.0360683960417282
"1241",1,4.1,0.0364703004952667
"1242",1,4.2,0.036855390395418
"1243",1,4.3,0.037224564051288
"1244",1,4.4,0.0375786696341684
"1245",1,4.5,0.0379185072908542
"1246",1,4.6,0.038244831333529
"1247",1,4.7,0.038558352463709
"1248",1,4.8,0.038859739996657
"1249",1,4.9,0.0391496240600554
"1250",1,5,0.0394285977468012
"1251",1,5.1,0.039697219206774
"1252",1,5.2,0.039956013666503
"1253",1,5.3,0.0402054753689717
"1254",1,5.4,0.0404460694284793
"1255",1,5.5,0.0406782335976277
"1256",1,5.6,0.0409023799452114
"1257",1,5.7,0.0411188964451402
"1258",1,5.8,0.0413281484775701
"1259",1,5.9,0.0415304802442189
"1260",1,6,0.0417262161004452
"1261",1,6.1,0.0419156618071005
"1262",1,6.2,0.0420991057054685
"1263",1,6.3,0.0422768198187962
"1264",1,6.4,0.0424490608840279
"1265",1,6.5,0.0426160713173936
"1266",1,6.6,0.0427780801174851
"1267",1,6.7,0.0429353037093961
"1268",1,6.8,0.0430879467334163
"1269",1,6.9,0.0432362027816527
"1270",1,7,0.0433802550858274
"1271",1,7.1,0.0435202771593552
"1272",1,7.2,0.0436564333966619
"1273",1,7.3,0.0437888796325487
"1274",1,7.4,0.0439177636642598
"1275",1,7.5,0.0440432257387545
"1276",1,7.6,0.0441653990075437
"1277",1,7.7,0.0442844099512994
"1278",1,7.8,0.0444003787763138
"1279",1,7.9,0.0445134197847456
"1280",1,8,0.0446236417204674
"1281",1,8.1,0.0447311480922064
"1282",1,8.2,0.0448360374755551
"1283",1,8.3,0.0449384037953219
"1284",1,8.4,0.0450383365895893
"1285",1,8.5,0.0451359212567507
"1286",1,8.6,0.0452312392867106
"1287",1,8.7,0.0453243684773449
"1288",1,8.8,0.0454153831372434
"1289",1,8.9,0.0455043542756816
"1290",1,9,0.0455913497807018
"1291",1,9.1,0.0456764345861206
"1292",1,9.2,0.0457596708282204
"1293",1,9.3,0.045841117992827
"1294",1,9.4,0.0459208330534292
"1295",1,9.5,0.0459988706009419
"1296",1,9.6,0.0460752829656781
"1297",1,9.7,0.0461501203320496
"1298",1,9.8,0.0462234308464819
"1299",1,9.9,0.0462952607189911
"1300",1,10,0.0463656543188423
"1301",1.08333333333333,0.1,0.0015557510117484
"1302",1.08333333333333,0.2,0.00208981774552668
"1303",1.08333333333333,0.3,0.0028697829186174
"1304",1.08333333333333,0.4,0.00383780799286634
"1305",1.08333333333333,0.5,0.00494622921243446
"1306",1.08333333333333,0.6,0.0061559260276861
"1307",1.08333333333333,0.7,0.00743494027323432
"1308",1.08333333333333,0.8,0.00875730844614591
"1309",1.08333333333333,0.9,0.0101020750052587
"1310",1.08333333333333,1,0.0114524593697022
"1311",1.08333333333333,1.1,0.0127951533532439
"1312",1.08333333333333,1.2,0.0141197292329149
"1313",1.08333333333333,1.3,0.0154181416026117
"1314",1.08333333333333,1.4,0.0166843086794894
"1315",1.08333333333333,1.5,0.0179137608765892
"1316",1.08333333333333,1.6,0.0191033462836588
"1317",1.08333333333333,1.7,0.020250984256002
"1318",1.08333333333333,1.8,0.0213554596381201
"1319",1.08333333333333,1.9,0.0224162512788059
"1320",1.08333333333333,2,0.023433389456178
"1321",1.08333333333333,2.1,0.024407337649638
"1322",1.08333333333333,2.2,0.0253388947920195
"1323",1.08333333333333,2.3,0.0262291147273064
"1324",1.08333333333333,2.4,0.0270792401026218
"1325",1.08333333333333,2.5,0.0278906483508691
"1326",1.08333333333333,2.6,0.0286648077836489
"1327",1.08333333333333,2.7,0.0294032421224512
"1328",1.08333333333333,2.8,0.0301075020577841
"1329",1.08333333333333,2.9,0.03077914264781
"1330",1.08333333333333,3,0.0314197055561489
"1331",1.08333333333333,3.1,0.0320307052878378
"1332",1.08333333333333,3.2,0.0326136187173077
"1333",1.08333333333333,3.3,0.0331698773163363
"1334",1.08333333333333,3.4,0.0337008615863805
"1335",1.08333333333333,3.5,0.0342078972811487
"1336",1.08333333333333,3.6,0.0346922530740143
"1337",1.08333333333333,3.7,0.0351551393828246
"1338",1.08333333333333,3.8,0.035597708113462
"1339",1.08333333333333,3.9,0.0360210531245774
"1340",1.08333333333333,4,0.0364262112504075
"1341",1.08333333333333,4.1,0.0368141637475362
"1342",1.08333333333333,4.2,0.0371858380557097
"1343",1.08333333333333,4.3,0.0375421097831019
"1344",1.08333333333333,4.4,0.037883804843361
"1345",1.08333333333333,4.5,0.0382117016858844
"1346",1.08333333333333,4.6,0.0385265335725032
"1347",1.08333333333333,4.7,0.0388289908634868
"1348",1.08333333333333,4.8,0.0391197232838317
"1349",1.08333333333333,4.9,0.0393993421474275
"1350",1.08333333333333,5,0.0396684225221499
"1351",1.08333333333333,5.1,0.0399275053233831
"1352",1.08333333333333,5.2,0.0401770993271059
"1353",1.08333333333333,5.3,0.0404176830966129
"1354",1.08333333333333,5.4,0.040649706819303
"1355",1.08333333333333,5.5,0.0408735940518512
"1356",1.08333333333333,5.6,0.0410897433735682
"1357",1.08333333333333,5.7,0.0412985299489113
"1358",1.08333333333333,5.8,0.0415003070010006
"1359",1.08333333333333,5.9,0.0416954071986689
"1360",1.08333333333333,6,0.0418841439600565
"1361",1.08333333333333,6.1,0.0420668126761136
"1362",1.08333333333333,6.2,0.0422436918575921
"1363",1.08333333333333,6.3,0.0424150442092415
"1364",1.08333333333333,6.4,0.04258111763498
"1365",1.08333333333333,6.5,0.0427421461778051
"1366",1.08333333333333,6.6,0.0428983508981589
"1367",1.08333333333333,6.7,0.043049940694379
"1368",1.08333333333333,6.8,0.043197113068753
"1369",1.08333333333333,6.9,0.0433400548425644
"1370",1.08333333333333,7,0.0434789428233753
"1371",1.08333333333333,7.1,0.0436139444276375
"1372",1.08333333333333,7.2,0.0437452182615704
"1373",1.08333333333333,7.3,0.0438729146630825
"1374",1.08333333333333,7.4,0.0439971762073598
"1375",1.08333333333333,7.5,0.0441181381785882
"1376",1.08333333333333,7.6,0.0442359290101269
"1377",1.08333333333333,7.7,0.0443506706953052
"1378",1.08333333333333,7.8,0.0444624791708751
"1379",1.08333333333333,7.9,0.044571464675019
"1380",1.08333333333333,8,0.044677732081685
"1381",1.08333333333333,8.1,0.0447813812129019
"1382",1.08333333333333,8.2,0.044882507130613
"1383",1.08333333333333,8.3,0.0449812004094619
"1384",1.08333333333333,8.4,0.0450775473918606
"1385",1.08333333333333,8.5,0.0451716304265789
"1386",1.08333333333333,8.6,0.0452635280920052
"1387",1.08333333333333,8.7,0.0453533154051461
"1388",1.08333333333333,8.8,0.0454410640173563
"1389",1.08333333333333,8.9,0.0455268423977188
"1390",1.08333333333333,9,0.0456107160049295
"1391",1.08333333333333,9.1,0.045692747448477
"1392",1.08333333333333,9.2,0.0457729966398537
"1393",1.08333333333333,9.3,0.0458515209344777
"1394",1.08333333333333,9.4,0.0459283752649601
"1395",1.08333333333333,9.5,0.0460036122663017
"1396",1.08333333333333,9.6,0.0460772823935647
